Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity
2007-03-30,0.974,0.126,241.039,4.19
2007-03-31,2.437,0.161,239.261,10.265
2007-04-01,2.263,0.14,239.75,9.478
2007-04-02,2.497,0.13,239.633,10.565
2007-04-03,1.452,0.122,240.03,6.158
2007-04-04,1.425,0.12,240.332,5.986
2007-04-05,0.693,0.121,235.71,3.078
2007-04-06,0.633,0.155,234.748,2.822
2007-04-07,0.697,0.176,240.66,3.095
2007-04-08,0.795,0.097,235.257,3.452
2007-04-09,1.101,0.125,239.66,4.756
2007-04-10,1.054,0.096,239.205,4.455
2007-04-11,1.032,0.096,240.206,4.384
2007-04-12,1.436,0.101,241.536,6.045
2007-04-13,0.383,0.105,240.05,1.643
2007-04-14,0.385,0.108,240.313,1.651
2007-04-15,0.504,0.119,240.237,2.187
2007-04-16,0.661,0.129,240.657,2.872
2007-04-17,0.85,0.152,240.196,3.691
2007-04-18,0.693,0.115,240.147,2.995
2007-04-19,0.714,0.104,240.43,3.056
2007-04-20,0.571,0.101,240.133,2.495
2007-04-21,1.162,0.148,239.213,5.036
2007-04-22,1.551,0.186,239.609,6.688
2007-04-23,0.732,0.094,237.236,3.264
2007-04-24,0.717,0.094,235.345,3.145
2007-04-25,0.878,0.114,234.941,3.858
2007-04-26,0.886,0.114,234.787,3.924
2007-04-27,0.76,0.112,235.216,3.312
2007-04-28,1.083,0.136,233.986,4.638
2007-04-30,0.731,0.125,234.87,3.239
2007-05-01,1.884,0.12,240.496,7.885
2007-05-02,1.143,0.102,240.81,4.82
2007-05-03,1.847,0.143,240.031,7.84
2007-05-04,1.281,0.17,241.173,5.492
2007-05-05,1.085,0.121,235.035,4.736
2007-05-06,1.013,0.178,234.693,4.465
2007-05-07,0.734,0.171,240.444,3.233
2007-05-08,0.547,0.105,235.115,2.437
2007-05-09,0.859,0.103,239.148,3.698
2007-05-10,0.968,0.105,238.827,4.09
2007-05-11,1.042,0.091,239.659,4.396
2007-05-12,1.495,0.124,241.228,6.348
2007-05-13,1.135,0.153,235.709,4.969
2007-05-14,1.019,0.207,235.69,4.574
2007-05-15,0.628,0.077,235.612,2.733
2007-05-16,1.176,0.094,235.261,5.072
2007-05-17,0.855,0.091,235.868,3.721
2007-05-18,1.133,0.119,235.995,4.877
2007-05-19,0.993,0.117,234.945,4.319
2007-05-20,1.367,0.13,235.348,5.942
2007-05-21,0.778,0.081,234.692,3.339
2007-05-22,0.787,0.09,235.481,3.4
2007-05-23,1.017,0.115,234.812,4.398
2007-05-24,0.802,0.094,235.546,3.462
2007-05-25,1.121,0.121,234.447,4.863
2007-05-26,1.05,0.121,235.07,4.563
2007-05-27,1.496,0.153,234.908,6.507
2007-05-28,1.137,0.105,234.907,4.922
2007-05-29,0.737,0.079,235.694,3.207
2007-05-30,1.118,0.102,234.831,4.828
2007-05-31,0.652,0.09,235.097,2.792
2007-06-01,1.047,0.133,239.673,4.544
2007-06-02,0.884,0.099,241.264,3.772
2007-06-03,0.866,0.129,240.988,3.696
2007-06-04,1.112,0.099,241.184,4.689
2007-06-05,1.46,0.127,234.41,6.409
2007-06-06,1.177,0.161,234.622,5.109
2007-06-07,0.743,0.152,240.599,3.269
2007-06-08,0.757,0.107,234.703,3.317
2007-06-09,0.626,0.119,239.34,2.752
2007-06-10,1.22,0.129,238.381,5.168
2007-06-11,1.446,0.139,238.702,6.15
2007-06-12,1.728,0.112,239.71,7.338
2007-06-13,0.644,0.145,240.398,2.818
2007-06-14,0.874,0.161,239.848,3.783
2007-06-15,0.687,0.175,240.464,3.066
2007-06-16,1.401,0.214,239.502,5.975
2007-06-17,1.352,0.167,240.219,5.769
2007-06-18,0.471,0.126,240.776,2.079
2007-06-19,0.586,0.131,240.269,2.561
2007-06-20,0.746,0.158,240.156,3.307
2007-06-21,0.56,0.155,240.575,2.501
2007-06-22,0.393,0.145,240.836,1.807
2007-06-23,0.332,0.134,240.319,1.536
2007-06-24,0.496,0.125,241.132,2.208
2007-06-25,0.745,0.137,240.422,3.25
2007-06-26,0.656,0.127,240.095,2.877
2007-06-27,1.028,0.144,239.758,4.429
2007-06-28,0.9,0.151,239.424,3.89
2007-06-29,0.906,0.143,240.182,3.942
2007-06-30,0.927,0.131,240.012,3.972
2007-07-01,1.7,0.171,240.902,7.283
2007-07-02,1.617,0.123,241.15,6.792
2007-07-03,1.649,0.119,240.324,6.935
2007-07-04,1.079,0.096,240.379,4.565
2007-07-05,1.141,0.117,234.537,4.981
2007-07-06,0.684,0.12,234.479,2.982
2007-07-07,0.943,0.149,239.91,4.035
2007-07-08,1.03,0.091,234.554,4.426
2007-07-09,0.928,0.126,239.032,4.007
2007-07-10,1.463,0.106,238.826,6.208
2007-07-11,1.281,0.134,239.565,5.481
2007-07-12,1.228,0.103,240.671,5.158
2007-07-13,0.552,0.144,240.855,2.451
2007-07-14,0.895,0.179,241.292,3.894
2007-07-15,0.7,0.178,240.597,3.092
2007-07-16,0.593,0.162,236.507,2.661
2007-07-17,0.5,0.122,234.741,2.276
2007-07-18,0.526,0.109,231.088,2.387
2007-07-19,0.471,0.13,234.262,2.144
2007-07-20,0.771,0.155,235.569,3.452
2007-07-21,0.736,0.164,234.257,3.292
2007-07-22,0.956,0.152,235.964,4.227
2007-07-23,0.688,0.1,234.501,3.076
2007-07-24,0.573,0.078,235.363,2.551
2007-07-25,0.328,0.075,235.641,1.479
2007-07-26,0.642,0.08,234.944,2.838
2007-07-27,0.835,0.084,235.554,3.623
2007-07-28,1.126,0.124,235.507,4.942
2007-07-29,0.223,0.082,235.712,1.033
2007-07-30,0.324,0.09,235.53,1.467
2007-07-31,0.564,0.101,234.915,2.502
2007-08-01,1.556,0.144,239.577,6.552
2007-08-02,1.251,0.096,241.797,5.248
2007-08-03,1.092,0.13,240.665,4.665
2007-08-04,1.117,0.094,240.349,4.72
2007-08-05,1.243,0.126,234.906,5.356
2007-08-06,1.492,0.16,236.197,6.448
2007-08-07,0.756,0.137,240.339,3.289
2007-08-08,0.782,0.083,234.512,3.381
2007-08-09,1.021,0.129,239.73,4.392
2007-08-10,0.761,0.085,239.097,3.231
2007-08-11,1.042,0.094,240.753,4.435
2007-08-12,1.537,0.107,239.56,6.508
2007-08-13,0.801,0.091,235.217,3.449
2007-08-14,0.654,0.092,237.076,2.854
2007-08-15,0.828,0.111,239.993,3.542
2007-08-16,0.666,0.091,239.738,2.844
2007-08-17,0.701,0.088,240.494,2.982
2007-08-18,0.242,0.083,241.28,1.079
2007-08-19,0.988,0.111,239.954,4.262
2007-08-20,0.93,0.108,241.301,3.963
2007-08-21,0.446,0.109,240.573,1.961
2007-08-22,0.84,0.107,240.817,3.571
2007-08-23,0.772,0.11,240.647,3.33
2007-08-24,1.151,0.183,240.495,4.939
2007-08-25,0.799,0.189,239.86,3.554
2007-08-26,0.913,0.208,239.951,4.013
2007-08-27,0.841,0.208,239.924,3.691
2007-08-28,0.692,0.126,239.55,2.996
2007-08-29,0.519,0.122,240.745,2.28
2007-08-30,0.835,0.133,240.573,3.604
2007-08-31,0.889,0.13,239.986,3.788
2007-09-01,1.298,0.144,240.488,5.521
2007-09-02,1.125,0.11,241.74,4.727
2007-09-03,0.884,0.083,240.888,3.731
2007-09-04,0.695,0.111,240.55,2.975
2007-09-05,1.157,0.127,234.874,5.056
2007-09-06,0.756,0.162,240.705,3.256
2007-09-07,0.82,0.12,240.618,3.516
2007-09-08,0.744,0.076,234.214,3.272
2007-09-09,1.166,0.145,238.922,5.054
2007-09-10,1.172,0.111,238.879,4.982
2007-09-11,1.508,0.079,238.715,6.367
2007-09-12,1.58,0.14,239.915,6.702
2007-09-13,0.796,0.115,239.31,3.464
2007-09-14,0.789,0.127,239.302,3.445
2007-09-15,0.761,0.128,240.002,3.278
2007-09-16,1.147,0.134,239.56,4.966
2007-09-17,1.015,0.14,239.215,4.413
2007-09-18,0.811,0.102,238.261,3.513
2007-09-19,0.902,0.105,240.305,3.883
2007-09-20,0.872,0.092,239.715,3.721
2007-09-21,0.86,0.106,239.381,3.733
2007-09-22,0.817,0.127,239.483,3.515
2007-09-23,0.985,0.169,239.5,4.28
2007-09-24,0.941,0.137,238.601,4.079
2007-09-25,1.225,0.09,238.1,5.206
2007-09-26,1.267,0.117,239.425,5.377
2007-09-27,0.967,0.105,239.567,4.078
2007-09-28,1.167,0.155,239.462,4.994
2007-09-29,1.595,0.126,239.14,6.793
2007-09-30,1.053,0.114,240.065,4.452
2007-10-01,1.496,0.159,241.027,6.358
2007-10-02,1.965,0.134,240.037,8.304
2007-10-03,1.725,0.169,239.803,7.342
2007-10-04,0.54,0.103,240.814,2.347
2007-10-05,0.492,0.117,235.796,2.207
2007-10-06,0.931,0.166,240.844,4.006
2007-10-07,0.631,0.122,239.983,2.786
2007-10-08,0.714,0.082,234.489,3.13
2007-10-09,0.776,0.123,239.389,3.364
2007-10-10,0.81,0.092,239.421,3.489
2007-10-11,1.814,0.165,239.11,7.707
2007-10-12,1.221,0.087,241.904,5.175
2007-10-13,1.338,0.087,238.765,5.701
2007-10-14,1.431,0.104,239.101,6.079
2007-10-15,0.879,0.082,239.293,3.722
2007-10-16,1.364,0.129,238.863,5.823
2007-10-17,1.095,0.095,239.192,4.637
2007-10-18,1.055,0.085,239.8,4.434
2007-10-19,1.448,0.084,239.652,6.103
2007-10-20,1.153,0.097,241.825,4.815
2007-10-21,1.349,0.107,241.491,5.702
2007-10-22,1.148,0.081,240.545,4.806
2007-10-23,1.359,0.089,241.232,5.712
2007-10-24,1.296,0.102,240.808,5.473
2007-10-25,1.287,0.092,240.473,5.414
2007-10-26,0.998,0.076,240.681,4.366
2007-10-27,1.24,0.076,240.201,5.309
2007-10-28,0.356,0.064,240.866,1.485
2007-10-29,0.379,0.06,241.193,1.574
2007-10-30,0.563,0.062,240.626,2.351
2007-10-31,0.891,0.074,240.339,3.742
2007-11-01,1.566,0.16,241.156,6.658
2007-11-02,2.48,0.142,239.506,10.527
2007-11-03,2.417,0.12,240.007,10.122
2007-11-04,0.616,0.134,241.155,2.619
2007-11-05,0.68,0.092,235.23,3.028
2007-11-06,0.552,0.135,240.857,2.418
2007-11-07,0.502,0.107,241.03,2.199
2007-11-08,0.758,0.08,234.98,3.286
2007-11-09,0.683,0.105,240.072,2.952
2007-11-10,1.203,0.106,238.444,5.109
2007-11-11,1.311,0.129,240.26,5.541
2007-11-12,1.601,0.093,241.46,6.712
2007-11-13,1.538,0.098,241.123,6.453
2007-11-14,1.422,0.098,239.946,5.941
2007-11-15,1.036,0.092,239.985,4.396
2007-11-16,1.604,0.086,240.984,6.718
2007-11-17,1.813,0.117,240.603,7.599
2007-11-18,1.517,0.112,242.26,6.348
2007-11-19,1.197,0.078,242.766,5.006
2007-11-20,1.455,0.087,241.339,6.09
2007-11-21,1.217,0.091,241.497,5.115
2007-11-22,1.342,0.099,241.565,5.656
2007-11-23,1.752,0.096,240.722,7.341
2007-11-24,1.319,0.105,241.803,5.513
2007-11-25,0.969,0.085,242.661,4.087
2007-11-26,1.09,0.081,241.116,4.601
2007-11-27,1.945,0.097,241.321,8.156
2007-11-28,1.142,0.08,242.895,4.776
2007-11-29,1.195,0.082,242.731,5.018
2007-11-30,1.619,0.102,243.488,6.757
2007-12-01,1.015,0.138,241.538,4.309
2007-12-02,1.304,0.095,240.098,5.503
2007-12-03,1.355,0.093,240.559,5.728
2007-12-04,0.373,0.103,240.256,1.598
2007-12-05,1.001,0.145,234.723,4.361
2007-12-06,0.638,0.15,240.225,2.859
2007-12-07,0.743,0.145,240.765,3.234
2007-12-08,0.862,0.089,235.665,3.743
2007-12-09,0.894,0.119,240.015,3.86
2007-12-10,1.33,0.096,238.481,5.667
2007-12-11,1.497,0.095,239.826,6.272
2007-12-12,1.103,0.081,242.476,4.591
2007-12-13,1.283,0.077,241.827,5.42
2007-12-14,1.371,0.125,241.986,5.758
2007-12-15,1.901,0.109,241.281,7.98
2007-12-16,1.918,0.088,242.685,7.992
2007-12-17,1.249,0.073,242.626,5.189
2007-12-18,1.822,0.1,242.94,7.602
2007-12-19,1.525,0.076,242.701,6.334
2007-12-20,1.354,0.083,243.168,5.613
2007-12-21,1.377,0.074,242.882,5.714
2007-12-22,1.813,0.098,242.146,7.593
2007-12-23,1.673,0.122,242.558,6.983
2007-12-24,1.568,0.104,242.65,6.55
2007-12-25,1.872,0.105,242.981,7.791
2007-12-26,1.792,0.097,242.392,7.426
2007-12-27,1.758,0.132,242.112,7.396
2007-12-28,2.162,0.144,242.284,9.031
2007-12-29,2.291,0.139,240.551,9.56
2007-12-30,1.777,0.124,242.099,7.466
2007-12-31,1.539,0.101,241.095,6.455
2008-01-01,1.916,0.099,241.037,7.979
2008-01-02,1.066,0.124,240.36,4.518
2008-01-03,0.793,0.073,239.432,3.278
2008-01-04,1.479,0.118,241.616,6.202
2008-01-05,0.4,0.105,241.446,1.702
2008-01-06,1.284,0.156,240.623,5.423
2008-01-07,0.844,0.193,239.54,3.74
2008-01-08,0.514,0.175,239.805,2.328
2008-01-09,0.866,0.128,239.916,3.733
2008-01-10,1.3,0.126,241.129,5.482
2008-01-11,0.577,0.079,241.81,2.626
2008-01-12,1.123,0.082,243.446,4.758
2008-01-13,2.003,0.1,239.751,8.449
2008-01-14,1.406,0.083,240.299,6.015
2008-01-15,1.866,0.079,240.709,7.891
2008-01-16,1.483,0.09,240.422,6.32
2008-01-17,1.092,0.081,241.628,4.645
2008-01-18,1.519,0.083,239.933,6.432
2008-01-19,1.375,0.094,239.606,5.829
2008-01-20,1.209,0.096,239.945,5.149
2008-01-21,1.291,0.085,239.565,5.519
2008-01-22,1.615,0.1,240.095,6.929
2008-01-23,1.307,0.075,240.907,5.52
2008-01-24,1.142,0.072,240.779,4.888
2008-01-25,1.555,0.083,240.705,6.544
2008-01-26,1.969,0.117,239.76,8.367
2008-01-27,1.654,0.098,241.304,6.985
2008-01-28,1.603,0.075,240.467,6.77
2008-01-29,1.858,0.081,240.623,7.842
2008-01-30,1.139,0.081,241.615,4.826
2008-01-31,1.357,0.096,241.886,5.793
2008-02-01,1.142,0.078,242.417,4.77
2008-02-02,2.04,0.161,240.291,8.649
2008-02-03,0.807,0.1,239.746,3.425
2008-02-04,1.175,0.099,238.667,5.008
2008-02-05,1.04,0.143,241.649,4.378
2008-02-06,0.746,0.115,236.37,3.218
2008-02-07,0.797,0.185,238.962,3.57
2008-02-08,0.351,0.124,239.129,1.588
2008-02-09,0.961,0.156,239.329,4.142
2008-02-10,0.934,0.107,240.328,3.949
2008-02-11,0.632,0.084,242.156,2.864
2008-02-12,1.245,0.101,243.379,5.215
2008-02-13,1.32,0.089,241.203,5.58
2008-02-14,1.114,0.079,240.765,4.684
2008-02-15,1.393,0.075,241.891,5.781
2008-02-16,1.63,0.097,241.088,6.894
2008-02-17,1.343,0.083,242.47,5.654
2008-02-18,1.052,0.071,242.064,4.376
2008-02-19,1.477,0.096,241.01,6.22
2008-02-20,1.565,0.132,241.67,6.608
2008-02-21,1.135,0.078,240.75,4.788
2008-02-22,1.203,0.085,241.436,5.055
2008-02-23,1.275,0.092,239.673,5.412
2008-02-24,0.877,0.075,240.378,3.639
2008-02-25,0.35,0.064,239.776,1.456
2008-02-26,0.352,0.059,239.533,1.459
2008-02-27,0.394,0.06,239.554,1.634
2008-02-28,0.354,0.058,239.804,1.467
2008-02-29,0.926,0.062,238.038,3.873
2008-03-01,1.049,0.084,243.077,4.402
2008-03-02,1.448,0.107,240.341,6.136
2008-03-03,0.723,0.079,240.352,2.978
2008-03-04,0.784,0.084,240.694,3.281
2008-03-05,0.896,0.14,240.834,3.801
2008-03-06,1.11,0.121,234.152,4.844
2008-03-07,0.763,0.148,239.635,3.343
2008-03-08,0.351,0.115,237.054,1.577
2008-03-09,0.964,0.125,240.029,4.119
2008-03-10,1.12,0.11,239.842,4.746
2008-03-11,0.589,0.08,241.765,2.665
2008-03-12,1.219,0.087,243.384,5.07
2008-03-13,1.164,0.089,240.803,4.942
2008-03-14,1.535,0.111,240.627,6.446
2008-03-15,1.095,0.107,240.198,4.651
2008-03-16,1.251,0.121,241.295,5.298
2008-03-17,1.185,0.122,240.805,5.007
2008-03-18,1.332,0.102,241.929,5.572
2008-03-19,0.909,0.099,242.402,3.826
2008-03-20,0.87,0.084,241.763,3.66
2008-03-21,1.435,0.155,241.37,6.038
2008-03-22,1.426,0.129,241.612,6.02
2008-03-23,1.615,0.106,242.653,6.791
2008-03-24,1.372,0.091,242.707,5.758
2008-03-25,1.4,0.089,242.138,5.871
2008-03-26,1.134,0.093,242.81,4.763
2008-03-27,0.952,0.081,242.096,3.961
2008-03-28,1.309,0.096,242.323,5.479
2008-03-29,1.716,0.122,241.254,7.209
2008-03-30,1.491,0.122,241.164,6.277
2008-03-31,0.957,0.091,242.727,4.006
2008-04-01,1.592,0.095,241.273,6.715
2008-04-02,1.131,0.072,240.255,4.777
2008-04-03,1.159,0.076,241.026,4.868
2008-04-04,1.133,0.087,241.331,4.726
2008-04-05,1.022,0.145,241.38,4.362
2008-04-06,1.103,0.106,234.706,4.828
2008-04-07,0.654,0.131,240.18,2.828
2008-04-08,0.782,0.135,237.863,3.417
2008-04-09,0.851,0.105,238.663,3.655
2008-04-10,1.459,0.15,240.174,6.145
2008-04-11,1.085,0.084,240.802,4.652
2008-04-12,1.207,0.079,243.463,5.024
2008-04-13,1.551,0.148,240.423,6.552
2008-04-14,1.104,0.108,242.314,4.604
2008-04-15,1.16,0.124,241.239,4.91
2008-04-16,1.034,0.087,241.744,4.316
2008-04-17,0.969,0.101,241.404,4.104
2008-04-18,1.293,0.128,240.642,5.458
2008-04-19,1.565,0.17,241.143,6.636
2008-04-20,1.244,0.158,241.433,5.261
2008-04-21,0.808,0.122,241.992,3.404
2008-04-22,1.13,0.134,240.96,4.773
2008-04-23,0.943,0.132,241.511,3.968
2008-04-24,0.725,0.119,240.605,3.058
2008-04-25,0.88,0.113,241.007,3.7
2008-04-26,0.627,0.117,240.793,2.634
2008-04-27,0.7,0.138,240.907,2.964
2008-04-28,0.458,0.116,240.978,1.951
2008-04-29,1.37,0.15,240.707,5.771
2008-04-30,0.765,0.119,241.434,3.219
2008-05-01,1.516,0.09,238.823,6.447
2008-05-02,1.717,0.106,240.977,7.211
2008-05-03,1.415,0.098,241.065,5.971
2008-05-04,1.369,0.141,240.558,5.785
2008-05-05,0.949,0.129,240.737,3.998
2008-05-06,0.778,0.106,235.164,3.398
2008-05-07,1.02,0.156,239.565,4.387
2008-05-08,0.574,0.125,238.736,2.506
2008-05-09,0.607,0.102,239.591,2.606
2008-05-10,1.076,0.102,240.138,4.534
2008-05-11,2.177,0.179,239.481,9.239
2008-05-12,1.43,0.083,242.976,5.968
2008-05-13,1.026,0.164,240.374,4.392
2008-05-14,1.1,0.193,240.709,4.713
2008-05-15,0.807,0.165,240.35,3.522
2008-05-16,1.146,0.164,239.62,4.922
2008-05-17,1.151,0.192,239.473,4.952
2008-05-18,1.253,0.177,239.683,5.409
2008-05-19,0.715,0.122,240.432,3.069
2008-05-20,1.098,0.128,241.02,4.682
2008-05-21,0.92,0.132,240.761,3.917
2008-05-22,0.678,0.118,239.5,2.956
2008-05-23,1.031,0.124,239.499,4.359
2008-05-24,1.097,0.198,240.725,4.669
2008-05-25,1.423,0.202,239.946,6.137
2008-05-26,0.896,0.153,240.364,3.93
2008-05-27,1.187,0.144,239.391,5.107
2008-05-28,0.774,0.164,241.323,3.351
2008-05-29,0.788,0.13,237.675,3.476
2008-05-30,0.97,0.127,240.554,4.203
2008-05-31,1.14,0.174,240.654,4.923
2008-06-01,1.267,0.081,239.407,5.39
2008-06-02,1.159,0.079,238.414,4.934
2008-06-03,1.738,0.074,240.429,7.215
2008-06-04,1.178,0.105,241.15,4.946
2008-06-05,1.243,0.139,240.29,5.246
2008-06-06,0.846,0.121,239.717,3.672
2008-06-07,1.254,0.176,240.59,5.359
2008-06-08,0.226,0.149,240.566,1.09
2008-06-09,1.298,0.165,239.34,5.524
2008-06-10,0.989,0.087,239.119,4.216
2008-06-11,1.103,0.126,240.39,4.727
2008-06-12,1.753,0.131,241.137,7.358
2008-06-13,1.302,0.196,238.888,5.606
2008-06-14,0.962,0.239,240.014,4.208
2008-06-15,1.59,0.195,239.454,6.774
2008-06-16,0.905,0.142,240.433,3.905
2008-06-17,0.795,0.122,240.354,3.435
2008-06-18,1.315,0.189,239.74,5.711
2008-06-19,1.103,0.132,239.273,4.738
2008-06-20,1.164,0.158,239.939,5.008
2008-06-21,1.204,0.166,239.463,5.134
2008-06-22,1.088,0.204,239.044,4.674
2008-06-23,0.869,0.146,238.938,3.792
2008-06-24,1.218,0.176,237.915,5.262
2008-06-25,0.876,0.202,238.895,3.911
2008-06-26,0.733,0.151,239.351,3.211
2008-06-27,1.219,0.182,238.935,5.237
2008-06-28,0.839,0.146,239.142,3.686
2008-06-29,0.52,0.128,240.161,2.331
2008-06-30,0.558,0.132,240.376,2.479
2008-07-01,1.178,0.081,240.744,4.915
2008-07-02,1.054,0.075,241.071,4.439
2008-07-03,1.294,0.09,240.816,5.442
2008-07-04,1.069,0.098,243.228,4.484
2008-07-05,0.817,0.133,241.081,3.458
2008-07-06,1.307,0.129,238.984,5.532
2008-07-07,0.683,0.141,239.634,2.969
2008-07-08,0.233,0.149,239.312,1.121
2008-07-09,0.953,0.123,240.589,4.081
2008-07-10,1.199,0.13,238.853,5.166
2008-07-11,1.124,0.076,239.752,4.755
2008-07-12,1.713,0.125,242.239,7.157
2008-07-13,0.872,0.116,240.291,3.769
2008-07-14,0.79,0.146,240.494,3.432
2008-07-15,0.803,0.133,239.781,3.436
2008-07-16,0.748,0.143,240.593,3.237
2008-07-17,0.916,0.166,239.917,4.027
2008-07-18,0.876,0.136,239.577,3.737
2008-07-19,0.933,0.144,239.151,4.02
2008-07-20,0.654,0.12,239.778,2.836
2008-07-21,0.803,0.12,239.102,3.482
2008-07-22,0.514,0.112,239.67,2.273
2008-07-23,0.655,0.113,240.096,2.849
2008-07-24,0.759,0.129,239.884,3.222
2008-07-25,0.601,0.127,239.057,2.618
2008-07-26,0.566,0.148,240.029,2.494
2008-07-27,0.797,0.162,238.471,3.513
2008-07-28,0.573,0.138,239.994,2.574
2008-07-29,0.81,0.145,240.249,3.641
2008-07-30,0.903,0.158,239.086,4.065
2008-07-31,0.967,0.169,240.096,4.232
2008-08-01,1.419,0.089,240.822,5.99
2008-08-02,1.355,0.083,240.433,5.747
2008-08-03,1.562,0.165,241.591,6.588
2008-08-04,1.845,0.128,242.067,7.699
2008-08-05,1.47,0.176,239.851,6.178
2008-08-06,1.071,0.131,239.965,4.596
2008-08-07,0.782,0.136,239.701,3.371
2008-08-08,0.21,0.136,239.457,1.006
2008-08-09,0.909,0.112,241.382,3.853
2008-08-10,1.292,0.106,240.049,5.431
2008-08-11,1.204,0.092,239.308,5.105
2008-08-12,1.298,0.084,243.732,5.383
2008-08-13,0.196,0.128,240.872,0.932
